transaction_id,product_id,product_price,product_sale,product_display
24617a4b-b188-49e6-a39b-12bc719da631,085,29.73,False,False
24617a4b-b188-49e6-a39b-12bc719da631,040,8.05,False,False
24617a4b-b188-49e6-a39b-12bc719da631,092,4.63,False,False
24617a4b-b188-49e6-a39b-12bc719da631,054,39.41,False,False
24617a4b-b188-49e6-a39b-12bc719da631,045,1.58,False,False
24617a4b-b188-49e6-a39b-12bc719da631,165,11.17,True,False
24617a4b-b188-49e6-a39b-12bc719da631,194,7.65,False,False
24617a4b-b188-49e6-a39b-12bc719da631,119,2.62,False,False
24617a4b-b188-49e6-a39b-12bc719da631,291,1.5,False,False
24617a4b-b188-49e6-a39b-12bc719da631,213,0.56,True,False
24617a4b-b188-49e6-a39b-12bc719da631,076,0.09,True,False
24617a4b-b188-49e6-a39b-12bc719da631,071,0.04,False,False
9e696334-18fb-4212-8887-bab834adff3f,045,1.58,False,False
9e696334-18fb-4212-8887-bab834adff3f,054,39.41,False,False
9e696334-18fb-4212-8887-bab834adff3f,064,18.57,True,False
9e696334-18fb-4212-8887-bab834adff3f,030,6.35,False,False
9e696334-18fb-4212-8887-bab834adff3f,053,1.37,False,False
9e696334-18fb-4212-8887-bab834adff3f,071,0.04,False,False
9f9c69e2-8321-4340-917e-b440666bcbdc,067,28.35,True,False
9f9c69e2-8321-4340-917e-b440666bcbdc,282,12.47,True,True
9f9c69e2-8321-4340-917e-b440666bcbdc,174,8.16,False,False
9f9c69e2-8321-4340-917e-b440666bcbdc,021,9.64,True,False
9f9c69e2-8321-4340-917e-b440666bcbdc,071,0.04,False,False
9f9c69e2-8321-4340-917e-b440666bcbdc,045,1.58,False,False
86d550fe-2fc9-48ad-9680-400a37b8d785,021,9.64,True,False
86d550fe-2fc9-48ad-9680-400a37b8d785,019,9.16,True,False
86d550fe-2fc9-48ad-9680-400a37b8d785,264,9.91,True,False
86d550fe-2fc9-48ad-9680-400a37b8d785,159,6.91,False,False
86d550fe-2fc9-48ad-9680-400a37b8d785,112,5.78,False,False
86d550fe-2fc9-48ad-9680-400a37b8d785,209,2.79,True,False
86d550fe-2fc9-48ad-9680-400a37b8d785,157,6.42,False,False
86d550fe-2fc9-48ad-9680-400a37b8d785,059,23.36,True,False
86d550fe-2fc9-48ad-9680-400a37b8d785,208,0.37,False,False
86d550fe-2fc9-48ad-9680-400a37b8d785,076,0.09,True,False
86d550fe-2fc9-48ad-9680-400a37b8d785,071,0.04,False,False
86d550fe-2fc9-48ad-9680-400a37b8d785,213,0.56,True,False
bdffa959-9f80-4207-82be-23b1c1a30d68,220,6.21,False,False
bdffa959-9f80-4207-82be-23b1c1a30d68,238,24.05,True,True
bdffa959-9f80-4207-82be-23b1c1a30d68,147,38.51,False,False
