transaction_id,product_id,product_price,product_sale,product_display
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,029,8.45,True,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,017,6.16,False,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,082,13.96,False,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,045,1.58,False,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,056,1.87,False,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,075,16.92,False,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,096,5.52,False,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,076,0.09,True,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,051,2.34,False,False
53ffc13c-bbe7-4f4c-b728-c6dc97adf842,071,0.04,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,025,14.66,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,081,17.19,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,096,5.52,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,053,1.37,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,046,21.19,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,079,6.73,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,071,0.04,False,False
de953f34-b7b1-40e3-86aa-e3b875feb9e5,076,0.09,True,False
f7bd2a3e-715b-458c-88bf-47d65a3f4e3b,015,63.41,False,False
f7bd2a3e-715b-458c-88bf-47d65a3f4e3b,010,2.98,False,False
f7bd2a3e-715b-458c-88bf-47d65a3f4e3b,045,1.58,False,False
f7bd2a3e-715b-458c-88bf-47d65a3f4e3b,076,0.09,True,False
f7bd2a3e-715b-458c-88bf-47d65a3f4e3b,071,0.04,False,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,063,10.29,False,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,076,0.09,True,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,095,7.96,False,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,045,1.58,False,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,004,13.84,True,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,027,25.33,True,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,092,4.63,False,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,039,16.09,False,False
1b0b2d3b-608a-47ad-8ff5-b09ef8ed03a7,071,0.04,False,False
d829934b-a7a3-491f-928e-41bd25c42450,082,13.96,False,False
d829934b-a7a3-491f-928e-41bd25c42450,047,6.93,False,False
d829934b-a7a3-491f-928e-41bd25c42450,060,10.25,False,False
d829934b-a7a3-491f-928e-41bd25c42450,056,1.87,False,False
d829934b-a7a3-491f-928e-41bd25c42450,095,7.96,False,False
d829934b-a7a3-491f-928e-41bd25c42450,064,18.57,True,False
d829934b-a7a3-491f-928e-41bd25c42450,087,51.33,False,False
d829934b-a7a3-491f-928e-41bd25c42450,019,9.16,True,False
d829934b-a7a3-491f-928e-41bd25c42450,063,10.29,False,False
d829934b-a7a3-491f-928e-41bd25c42450,021,9.64,True,False
d829934b-a7a3-491f-928e-41bd25c42450,051,2.34,False,False
d829934b-a7a3-491f-928e-41bd25c42450,076,0.09,True,False
d829934b-a7a3-491f-928e-41bd25c42450,026,2.52,False,False
d829934b-a7a3-491f-928e-41bd25c42450,071,0.04,False,False
6084a581-4c89-42d0-ab7a-f3ae0e6d43e0,068,33.13,True,False
6084a581-4c89-42d0-ab7a-f3ae0e6d43e0,067,28.35,True,False
